Cidade;Total;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 a 84 anos;85 a 89 anos;90 a 94 anos;95 a 99 anos;100 anos ou mais;Total;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 a 84 anos;85 a 89 anos;90 a 94 anos;95 a 99 anos;100 anos ou mais;Total;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 a 84 anos;85 a 89 anos;90 a 94 anos;95 a 99 anos;100 anos ou mais
Paraíba do Sul (RJ);42063;2429;2769;2800;2704;3032;2860;2737;2914;3146;2725;2896;2760;2590;2034;1483;935;655;355;198;33;8;19787;1209;1392;1374;1337;1524;1392;1265;1348;1489;1198;1352;1318;1178;931;647;366;270;129;60;6;2;22276;1220;1377;1426;1367;1508;1468;1472;1566;1657;1527;1544;1442;1412;1103;836;569;385;226;138;27;6
Paraty (RJ);45243;2984;3116;3019;3224;3225;3223;3338;3845;4013;3377;2919;2654;2240;1678;1121;616;347;200;83;18;3;22353;1511;1610;1530;1640;1655;1574;1570;1808;1962;1681;1449;1272;1098;851;570;283;173;83;26;6;1;22890;1473;1506;1489;1584;1570;1649;1768;2037;2051;1696;1470;1382;1142;827;551;333;174;117;57;12;2
Paty do Alferes (RJ);29619;1861;2011;1868;1948;2140;2066;2105;2100;2201;1884;1966;1958;1756;1367;946;676;409;225;105;20;7;14301;950;983;958;961;1030;997;1013;996;1051;917;920;934;852;646;462;315;171;89;45;10;1;15318;911;1028;910;987;1110;1069;1092;1104;1150;967;1046;1024;904;721;484;361;238;136;60;10;6
Petrópolis (RJ);278881;14400;16083;15553;16577;19103;18797;19148;19850;21835;19654;19783;18669;16658;14247;11496;7621;4960;2831;1243;319;54;131079;7270;8073;7958;8365;9472;9097;9235;9344;10332;9370;9273;8556;7444;6205;4738;3078;1864;949;375;70;11;147802;7130;8010;7595;8212;9631;9700;9913;10506;11503;10284;10510;10113;9214;8042;6758;4543;3096;1882;868;249;43
Pinheiral (RJ);24298;1431;1625;1565;1590;1662;1737;1601;1857;2030;1585;1524;1610;1496;1214;792;494;248;152;64;17;4;11700;728;787;851;800;819;842;760;891;965;761;706;752;677;569;375;243;92;54;22;4;2;12598;703;838;714;790;843;895;841;966;1065;824;818;858;819;645;417;251;156;98;42;13;2
Piraí (RJ);27474;1645;1787;1721;1697;1921;1940;1900;1941;2194;1834;1874;1802;1652;1286;1022;580;377;194;80;21;6;13243;796;901;891;853;968;940;899;945;996;864;938;834;796;621;493;248;154;73;25;6;2;14231;849;886;830;844;953;1000;1001;996;1198;970;936;968;856;665;529;332;223;121;55;15;4
Porciúncula (RJ);17288;1077;1083;1124;1171;1231;1157;1176;1242;1308;1067;1123;1151;1010;801;613;419;264;151;86;26;8;8553;567;563;585;608;611;592;559;620;661;512;557;542;485;392;284;193;105;64;41;11;1;8735;510;520;539;563;620;565;617;622;647;555;566;609;525;409;329;226;159;87;45;15;7
Porto Real (RJ);20373;1296;1429;1464;1383;1568;1497;1541;1651;1675;1425;1338;1167;1062;746;496;298;199;92;36;9;1;9859;654;764;769;670;772;634;747;781;810;678;651;563;521;361;228;122;75;37;19;2;1;10514;642;665;695;713;796;863;794;870;865;747;687;604;541;385;268;176;124;55;17;7;-
Quatis (RJ);13682;793;888;939;896;1002;946;949;1044;1072;961;888;869;743;616;458;312;141;97;57;10;1;6555;390;478;463;421;494;471;453;519;503;453;437;401;340;288;193;132;59;43;15;2;-;7127;403;410;476;475;508;475;496;525;569;508;451;468;403;328;265;180;82;54;42;8;1
Queimados (RJ);140523;9061;10253;9618;10231;11005;10625;10304;10431;11325;9855;9235;7982;7044;5345;3773;2151;1324;612;268;67;14;67025;4549;5221;4925;5233;5343;4972;4808;4906;5427;4703;4323;3674;3209;2381;1653;890;508;201;77;18;4;73498;4512;5032;4693;4998;5662;5653;5496;5525;5898;5152;4912;4308;3835;2964;2120;1261;816;411;191;49;10
